2025-10-21T07:52:28.726944Z  WARN sugarloaf\src\font\loader\mod.rs:166: Failed to load a font face 0 from 'C:\Windows\Fonts\mstmc.ttf' cause malformed font.
2025-10-21T07:52:28.739980Z  WARN sugarloaf\src\font\loader\mod.rs:166: Failed to load a font face 0 from 'C:\WINDOWS\Fonts\mstmc.ttf' cause malformed font.
2025-10-21T07:52:29.082404Z  WARN rio-backend\src\performer\handler.rs:1144: [csi_dispatch] params=[1], intermediates=[], should_ignore=false, action='t'
2025-10-21T07:54:57.347268Z  WARN rio-backend\src\performer\handler.rs:745: [unhandled osc_dispatch]: [['1''3''3'],['A'],['c''l''i''c''k''_''e''v''e''n''t''s''=''1'],] at line 745
2025-10-21T07:54:57.509147Z  WARN rio-backend\src\performer\handler.rs:745: [unhandled osc_dispatch]: [['1''3''3'],['C'],['c''m''d''l''i''n''e''_''u''r''l''=''c''d'],] at line 745
2025-10-21T07:54:57.511328Z  WARN rio-backend\src\performer\handler.rs:745: [unhandled osc_dispatch]: [['1''3''3'],['D'],['0'],] at line 745
2025-10-21T07:54:57.519570Z  WARN rio-backend\src\performer\handler.rs:745: [unhandled osc_dispatch]: [['1''3''3'],['A'],['c''l''i''c''k''_''e''v''e''n''t''s''=''1'],] at line 745
2025-10-21T07:54:57.743516Z  WARN rio-backend\src\performer\handler.rs:745: [unhandled osc_dispatch]: [['1''3''3'],['A'],['c''l''i''c''k''_''e''v''e''n''t''s''=''1'],] at line 745
2025-10-21T07:54:57.752578Z  WARN rio-backend\src\performer\handler.rs:745: [unhandled osc_dispatch]: [['1''3''3'],['A'],['c''l''i''c''k''_''e''v''e''n''t''s''=''1'],] at line 745
2025-10-21T07:55:01.416978Z  WARN rio-backend\src\performer\handler.rs:745: [unhandled osc_dispatch]: [['1''3''3'],['C'],['c''m''d''l''i''n''e''_''u''r''l''=''s''u''d''o''%''2''0''p''a''c''m''a''n''%''2''0''-''S''y''y''u'],] at line 745
2025-10-21T07:56:23.959391Z  WARN rio-backend\src\performer\handler.rs:745: [unhandled osc_dispatch]: [['1''3''3'],['D'],['0'],] at line 745
2025-10-21T07:56:23.969105Z  WARN rio-backend\src\performer\handler.rs:745: [unhandled osc_dispatch]: [['1''3''3'],['A'],['c''l''i''c''k''_''e''v''e''n''t''s''=''1'],] at line 745
2025-10-21T07:56:42.325225Z  WARN rio-backend\src\performer\handler.rs:745: [unhandled osc_dispatch]: [['9'],['9'],['C'':''\\''U''s''e''r''s''\\''a''l''m''a''g''\\''G''i''t''h''u''b''\\''a''r''c''h''-''a''l''m''a''g''e''s''t''\\''s''h''e''l''l''\\''n''u''s''h''e''l''l''_''w''i''n''d''o''w''s'],] at line 745
2025-10-21T08:00:00.382718Z  WARN rio-backend\src\performer\handler.rs:745: [unhandled osc_dispatch]: [['9'],['9'],['C'':''\\''U''s''e''r''s''\\''a''l''m''a''g''\\''G''i''t''h''u''b''\\''a''r''c''h''-''a''l''m''a''g''e''s''t''\\''t''e''r''m''i''n''a''l''s''\\''r''i''o'],] at line 745
